2014-12-02 00:25:09,590 INFO   [CompareHelper] sequence of child nodes 
2014-12-02 00:25:09,590 INFO   [CompareHelper] sequence of child nodes 
2014-12-02 00:25:09,590 INFO   [CompareHelper] ************************** 
2014-12-02 00:25:09,590 INFO   [CompareHelper] 
 
2014-12-02 00:34:50,807 INFO   [MainApplication] Starting the MainApplication 
2014-12-02 00:38:03,393 INFO   [MainApplication] Starting the MainApplication 
2014-12-02 00:38:03,415 INFO   [CompareHelper] /home/mayuran/Dropbox/workspace/java/compare/files/one/one.xml != /home/mayuran/Dropbox/workspace/java/compare/files/two/two.xml 
2014-12-02 00:38:03,415 INFO   [CompareHelper] ************************** 
2014-12-02 00:38:03,415 INFO   [CompareHelper] number of child nodes 
2014-12-02 00:38:03,416 INFO   [CompareHelper] text value 
2014-12-02 00:38:03,416 INFO   [CompareHelper] node type 
2014-12-02 00:38:03,416 INFO   [CompareHelper] presence of child nodes to be 
2014-12-02 00:38:03,416 INFO   [CompareHelper] number of child nodes 
2014-12-02 00:38:03,416 INFO   [CompareHelper] presence of child node 
2014-12-02 00:38:03,416 INFO   [CompareHelper] presence of child node 
2014-12-02 00:38:03,416 INFO   [CompareHelper] presence of child node 
2014-12-02 00:38:03,416 INFO   [CompareHelper] text value 
2014-12-02 00:38:03,416 INFO   [CompareHelper] presence of child node 
2014-12-02 00:38:03,416 INFO   [CompareHelper] sequence of child nodes 
2014-12-02 00:38:03,416 INFO   [CompareHelper] ************************** 
2014-12-02 00:38:03,416 INFO   [CompareHelper] 
 
2014-12-02 00:41:45,147 INFO   [MainApplication] Starting the MainApplication 
2014-12-02 00:42:20,785 INFO   [MainApplication] Starting the MainApplication 
2014-12-02 00:43:18,060 INFO   [MainApplication] Starting the MainApplication 
2014-12-02 00:44:10,267 INFO   [MainApplication] Starting the MainApplication 
2014-12-02 00:44:25,536 INFO   [MainApplication] Starting the MainApplication 
2014-12-02 00:44:56,509 INFO   [MainApplication] Starting the MainApplication 
2014-12-02 00:44:56,531 INFO   [CompareHelper] /home/mayuran/Dropbox/workspace/java/compare/files/one/one.xml != /home/mayuran/Dropbox/workspace/java/compare/files/two/two.xml 
2014-12-02 00:44:56,532 INFO   [CompareHelper] ************************** 
2014-12-02 00:44:56,532 INFO   [CompareHelper] text value 
2014-12-02 00:44:56,532 INFO   [CompareHelper] text value 
2014-12-02 00:44:56,532 INFO   [CompareHelper] attribute value 
2014-12-02 00:44:56,532 INFO   [CompareHelper] text value 
2014-12-02 00:44:56,532 INFO   [CompareHelper] ************************** 
2014-12-02 00:44:56,532 INFO   [CompareHelper] 
 
2014-12-02 00:45:42,090 INFO   [MainApplication] Starting the MainApplication 
2014-12-02 00:45:42,113 INFO   [CompareHelper] /home/mayuran/Dropbox/workspace/java/compare/files/one/one.xml != /home/mayuran/Dropbox/workspace/java/compare/files/two/two.xml 
2014-12-02 00:45:42,113 INFO   [CompareHelper] ************************** 
2014-12-02 00:45:42,113 INFO   [CompareHelper] Expected text value '
	
	' but was '

    ' - comparing <beans ...>
	
	</beans> at /beans[1]/text()[1] to <beans ...>

    </beans> at /beans[1]/text()[1] 
2014-12-02 00:45:42,113 INFO   [CompareHelper] Expected text value '
		' but was '
        ' - comparing <bean ...>
		</bean> at /beans[1]/bean[1]/text()[1] to <bean ...>
        </bean> at /beans[1]/bean[1]/text()[1] 
2014-12-02 00:45:42,114 INFO   [CompareHelper] Expected attribute value 'Spring is fun.' but was 'Springd is fun.' - comparing <property value="Spring is fun."...> at /beans[1]/bean[1]/property[1]/@value to <property value="Springd is fun."...> at /beans[1]/bean[1]/property[1]/@value 
2014-12-02 00:45:42,114 INFO   [CompareHelper] Expected text value '
	' but was '
    ' - comparing <bean ...>
	</bean> at /beans[1]/bean[1]/text()[2] to <bean ...>
